First Name;Last Name;Arabic Name;DoB;Gender;Nationality;Latest Gollege Degree;GPA;Monthly Income
Noor;Al Shukairi;??? ???????;15-10-1997;Female;Omani;Bachelor;3.70;900.00
Amal;Al Amri;??? ???????;08-04-1996;Female;Omani;Bachelor;2.80;850.00
Ahmed;Al Harthi;???? ???????;09-04-1996;Male;Saudi;MSc;4.00;1,250.00
Khalid;Al Mawali;???? ???????;18-11-1968;Male;Bahraini;MBA;3.90;1,464.00
Sara;Al Hadi;???? ??????;21-09-1991;Female;Emirati;PhD;3.80;2,456.00
Maryam;Al Mansori;???? ????????;24-07-1984;Female;Qatari;MA;3.68;1,745.00
Ali;Al Harthi;??? ???????;14-12-1982;Male;Kuwaiti;PhD;4.00;4,256.00
Mohammed;Al Hinai;???? ???????;14-04-1996;Male;Omani;MSc;3.75;1,367.00
Abrar;Al Oraimi;????? ???????;15-04-1996;Female;Omani;Bachelor;2.70;888.00
Kate;Smith;??? ????;16-04-1996;Female;English;MSc;3.30;1,436.00
Claire;Brown;???? ????;17-04-1996;Female;Scotish;MBA;3.40;945.00
Mark;Russo;???? ????;18-04-1996;Male;Italian;MBA;4.60;1,156.00
